iter	Passed	Remaining
457	809	958
458	810	955
459	811	952
460	811	949
461	812	946
462	813	943
463	814	940
464	814	937
465	815	934
466	816	931
467	816	928
468	817	925
469	818	922
470	818	919
471	819	916
472	820	913
473	821	911
474	822	908
475	822	905
476	823	903
477	824	900
478	825	897
479	825	894
480	826	891
481	827	889
482	827	886
483	828	883
484	829	880
485	829	877
486	830	874
487	831	872
488	831	869
489	832	866
490	833	863
491	833	860
492	834	858
493	835	855
494	836	852
495	837	850
496	837	848
497	838	845
498	839	842
499	839	839
500	840	837
501	841	834
502	841	831
503	842	829
504	843	826
505	843	823
506	844	821
507	844	818
508	845	815
509	846	813
510	846	810
511	847	807
512	848	805
513	848	802
514	849	799
515	850	797
516	851	795
517	852	793
518	853	790
519	853	788
520	856	787
521	857	784
522	858	782
523	859	780
524	861	779
525	862	777
526	863	775
527	864	772
528	867	772
529	869	771
530	870	768
531	871	766
532	872	764
533	872	761
534	873	759
535	873	756
536	874	754
537	875	751
538	875	749
539	876	746
540	877	744
541	890	752
542	891	750
543	892	748
544	893	746
545	894	744
546	896	742
547	897	740
548	898	738
549	899	735
550	900	733
551	900	731
552	901	728
553	902	726
554	902	723
555	903	721
556	903	718
557	904	716
558	905	713
559	905	711
560	906	709
561	906	706
562	907	704
563	908	701
564	908	699
565	909	697
566	909	694
567	910	692
568	911	690
569	912	688
570	913	686
571	914	683
572	914	681
573	915	679
574	916	677
575	918	676
576	919	674
577	920	672
578	922	670
579	927	671
580	928	669
581	929	667
582	930	665
583	931	663
584	931	660
585	932	658
586	933	656
587	933	654
588	934	651
589	935	650
590	936	648
591	937	646
592	939	644
593	943	644
594	944	642
595	945	640
596	945	638
597	946	636
598	947	634
599	948	632
600	949	630
601	949	627
602	950	625
603	951	623
604	951	621
605	952	619
606	953	617
607	953	615
608	954	612
609	956	611
610	957	609
611	958	607
612	958	605
613	959	603
614	960	601
615	961	599
616	961	597
617	962	594
618	963	592
619	963	590
620	964	588
621	965	586
622	965	584
623	966	582
624	967	580
625	968	578
626	968	576
627	969	574
628	971	573
629	972	571
630	973	569
631	974	567
632	974	565
633	975	563
634	976	561
635	976	559
636	977	557
637	978	555
638	979	553
639	980	551
640	981	549
641	982	547
642	983	546
643	984	544
644	987	543
645	988	541
646	989	539
647	990	537
648	991	536
649	992	534
650	993	532
651	994	530
652	995	529
653	996	527
654	997	525
655	998	523
656	1001	523
657	1002	521
658	1003	519
659	1005	517
660	1006	516
661	1007	514
662	1008	512
663	1009	510
664	1010	509
665	1011	507
666	1012	505
667	1013	503
668	1017	503
669	1018	501
670	1019	500
671	1021	498
672	1022	496
673	1023	495
674	1024	493
675	1025	491
676	1026	489
677	1028	488
678	1030	487
679	1031	485
680	1032	483
681	1035	482
682	1036	481
683	1037	479
684	1038	477
685	1040	476
686	1041	474
687	1042	472
688	1043	471
689	1045	469
690	1047	468
691	1048	466
692	1049	465
693	1050	463
694	1052	462
695	1055	460
696	1057	459
697	1058	457
698	1065	458
699	1067	457
700	1069	455
701	1071	454
702	1072	453
703	1078	453
704	1079	451
705	1081	450
706	1083	448
707	1084	447
708	1085	445
709	1086	443
710	1087	441
711	1088	440
712	1089	438
713	1090	436
714	1092	435
715	1093	433
716	1094	432
717	1095	430
718	1097	428
719	1098	427
720	1100	425
721	1101	424
722	1106	423
723	1107	422
724	1108	420
725	1110	419
726	1111	417
727	1113	415
728	1114	414
729	1115	412
730	1117	411
731	1120	410
732	1122	408
733	1124	407
734	1127	406
735	1129	405
736	1131	403
737	1133	402
738	1134	400
739	1136	399
740	1137	397
741	1138	395
742	1140	394
743	1141	392
744	1142	390
745	1143	389
746	1144	387
747	1145	385
748	1146	384
749	1147	382
750	1148	380
751	1150	379
752	1151	377
753	1152	376
754	1153	374
755	1154	372
756	1156	371
757	1157	369
758	1158	367
759	1159	366
760	1160	364
761	1161	362
762	1162	361
763	1164	359
764	1166	358
765	1167	356
766	1168	354
767	1169	353
768	1170	351
769	1171	349
770	1172	348
771	1173	346
772	1174	345
773	1175	343
774	1176	341
775	1178	340
776	1180	338
777	1181	337
778	1182	335
779	1183	333
780	1184	332
781	1186	330
782	1187	329
783	1188	327
784	1189	325
785	1190	324
786	1191	322
787	1192	320
788	1194	319
789	1195	317
790	1197	316
791	1198	314
792	1199	313
793	1200	311
794	1201	309
795	1202	308
796	1203	306
797	1204	304
798	1204	303
799	1205	301
800	1206	299
801	1208	298
802	1210	296
803	1211	295
804	1212	293
805	1213	292
806	1214	290
807	1215	288
808	1216	287
809	1217	285
810	1218	284
811	1219	282
812	1220	280
813	1222	279
814	1224	277
815	1225	276
816	1226	274
817	1227	273
818	1228	271
819	1229	269
820	1230	268
821	1231	266
822	1232	265
823	1233	263
824	1234	261
825	1235	260
826	1237	258
827	1238	257
828	1239	255
829	1240	254
830	1241	252
831	1242	250
832	1243	249
833	1244	247
834	1246	246
835	1247	244
836	1247	243
837	1248	241
838	1249	239
839	1251	238
840	1253	236
841	1254	235
842	1255	233
843	1256	232
844	1257	230
845	1258	229
846	1259	227
847	1260	225
848	1261	224
849	1262	222
850	1263	221
851	1264	219
852	1265	218
853	1267	216
854	1269	215
855	1271	213
856	1272	212
857	1274	210
858	1276	209
859	1277	208
860	1278	206
861	1279	204
862	1282	203
863	1284	202
864	1285	200
865	1286	199
866	1287	197
867	1288	195
868	1289	194
869	1290	192
870	1291	191
871	1292	189
872	1293	188
873	1294	186
874	1297	185
875	1298	183
876	1299	182
877	1300	180
878	1301	179
879	1302	177
880	1303	176
881	1303	174
